person_id,display_first_last,from_year,to_year,draft_year,height_feet,height_inches,weight,team_id,jersey,school,country
78174,Tom Sluby,1984,1984,1984,6,4,200,1610612742,7,Notre Dame,USA
78175,Keith Smart,1988,1988,1988,6,1,175,1610612759,3,Indiana,USA
78176,Belus Smawley,1946,1951,,6,1,195,1610610034,,Appalachian State,USA
78177,Jack Smiley,1948,1949,,6,3,190,1610612765,,Illinois,USA
78178,Adrian Smith,1961,1970,1958,6,1,180,1610612758,10,Kentucky,USA
78179,Charles Smith,1989,1995,,6,1,160,1610612738,,Georgetown,USA
78181,Clinton Smith,1986,1990,1986,6,6,210,1610612744,22,Cleveland State,USA
78183,Derek Smith,1982,1990,1982,6,6,205,1610612746,43,Louisville,USA
78184,Don Smith,1974,1974,1974,6,0,160,1610612755,10,Dayton,USA
78185,Donald Smith,1948,1948,1947,6,2,190,1610612747,,Minnesota,USA
78187,Ed Smith,1953,1953,1951,6,6,180,1610612752,14,Harvard,USA
78188,Elmore Smith,1971,1978,1971,7,1,250,1610612747,3,Kentucky State,USA
78189,Garfield Smith,1970,1971,1968,6,9,235,1610612738,33,Eastern Kentucky,USA
78190,Greg Smith,1968,1975,1968,6,5,195,1610612749,4,Western Kentucky,USA
78191,Jim Smith,1981,1982,1981,6,9,225,1610612746,32,Ohio State,USA
78192,Keith Smith,1986,1986,1986,6,3,180,1610612749,11,Loyola-Marymount,USA
78194,Labradford Smith,1991,1993,1991,6,3,200,1610612764,34,Louisville,USA
78195,Larry Smith,1980,1992,1980,6,8,215,1610612744,2,Alcorn State,USA
78197,Michael Smith,1989,1994,1989,6,10,225,1610612738,,Brigham Young,USA
78198,Otis Smith,1986,1991,1986,6,5,210,1610612753,32,Jacksonville,USA
78199,Phil Smith,1974,1982,1974,6,4,185,1610612744,20,San Francisco,USA
78202,Bingo Smith,1969,1979,1969,6,5,195,1610612739,7,Tulsa,USA
78205,Sammy Smith,1978,1979,1977,6,4,200,1610612741,28,UNLV,USA
78207,Bill Smith,1971,1972,1971,7,0,220,1610612757,43,Syracuse,USA
78208,Willie Smith,1976,1979,1976,6,2,170,1610612739,11,Missouri,USA
78209,Bill Smith,1961,1961,1961,6,5,190,1610612752,,St. Peter's,USA
78212,Joe Smyth,1953,1953,1953,6,3,215,1610610024,,Niagara,USA
78214,George Sobek,1949,1949,,6,0,180,1610610033,,Notre Dame,USA
78215,Ricky Sobers,1975,1985,1975,6,3,198,1610612741,14,UNLV,USA
78216,Ron Sobie,1956,1959,1956,6,3,185,1610612752,17,DePaul,USA
78217,Mike Sojourner,1974,1976,1974,6,9,225,1610612737,40,Utah,USA
78219,Willie Somerset,1965,1965,1965,5,8,170,1610612764,24,Duquesne,USA
78220,Dave Sorenson,1970,1972,1970,6,8,225,1610612739,35,Ohio State,USA
78221,Gino Sovran,1946,1946,,6,2,175,1610610035,,Detroit,USA
78223,Guy Sparrow,1957,1959,1955,6,6,218,1610612752,16,Detroit,USA
78225,Odie Spears,1948,1956,1948,6,5,205,1610612758,15,Western Kentucky,USA
78226,Art Spector,1946,1949,,6,4,200,1610612738,12,Villanova,USA
78227,Andre Spencer,1992,1993,,6,6,210,1610612758,20,Northern Arizona,USA
78230,Lou Spicer,1946,1946,,6,2,195,1610610032,,Syracuse,USA
