team_id,name,abbreviation,min_year,max_year
1610612737,Hawks,ATL,1949,2019
1610612738,Celtics,BOS,1946,2019
1610612740,Pelicans,NOP,2002,2019
1610612741,Bulls,CHI,1966,2019
1610612742,Mavericks,DAL,1980,2019
1610612743,Nuggets,DEN,1976,2019
1610612745,Rockets,HOU,1967,2019
1610612746,Clippers,LAC,1970,2019
1610612747,Lakers,LAL,1948,2019
1610612748,Heat,MIA,1988,2019
1610612749,Bucks,MIL,1968,2019
1610612750,Timberwolves,MIN,1989,2019
1610612751,Nets,BKN,1976,2019
1610612752,Knicks,NYK,1946,2019
1610612753,Magic,ORL,1989,2019
1610612754,Pacers,IND,1976,2019
1610612755,76ers,PHI,1949,2019
1610612756,Suns,PHX,1968,2019
1610612757,Trail Blazers,POR,1970,2019
1610612758,Kings,SAC,1948,2019
1610612759,Spurs,SAS,1976,2019
1610612760,Thunder,OKC,1967,2019
1610612761,Raptors,TOR,1995,2019
1610612762,Jazz,UTA,1974,2019
1610612763,Grizzlies,MEM,1995,2019
1610612764,Wizards,WAS,1961,2019
1610612765,Pistons,DET,1948,2019
1610612766,Hornets,CHA,1988,2019
1610612739,Cavaliers,CLE,1970,2019
1610612744,Warriors,GSW,1946,2019
